# r/sigma g(r) (rho2d=1.0027, n=100, samples=1000)
0.012483 0.000000
0.037450 0.000000
0.062417 0.000000
0.087383 0.000000
0.112350 0.000000
0.137316 0.000000
0.162283 0.000000
0.187250 0.000000
0.212216 0.000000
0.237183 0.000000
0.262149 0.000000
0.287116 0.000000
0.312083 0.000000
0.337049 0.000000
0.362016 0.000000
0.386983 0.000000
0.411949 0.000000
0.436916 0.000000
0.461882 0.000000
0.486849 0.000000
0.511816 0.000000
0.536782 0.000000
0.561749 0.000000
0.586715 0.000000
0.611682 0.000000
0.636649 0.000000
0.661615 0.000000
0.686582 0.000000
0.711549 0.000000
0.736515 0.000000
0.761482 0.000000
0.786448 0.000000
0.811415 0.000000
0.836382 0.000000
0.861348 0.003395
0.886315 0.291805
0.911281 0.990964
0.936248 1.740162
0.961215 2.373451
0.986181 3.317643
1.011148 5.312521
1.036115 4.303856
1.061081 3.487897
1.086048 2.755934
1.111014 2.168570
1.135981 1.751754
1.160948 1.391090
1.185914 1.113374
1.210881 0.889745
1.235847 0.711471
1.260814 0.568193
1.285781 0.469442
1.310747 0.363686
1.335714 0.309005
1.360681 0.259601
1.385647 0.220878
1.410614 0.190017
1.435580 0.187598
1.460547 0.172029
1.485514 0.181378
1.510480 0.187808
1.535447 0.221275
1.560413 0.242669
1.585380 0.296354
1.610347 0.363929
1.635313 0.438772
1.660280 0.559153
1.685247 0.701923
1.710213 0.870933
1.735180 1.042627
1.760146 1.232062
1.785113 1.378874
1.810080 1.506111
1.835046 1.549021
1.860013 1.595224
1.884979 1.571127
1.909946 1.537740
1.934913 1.583614
1.959879 1.607623
1.984846 1.649158
2.009813 1.731289
2.034779 1.745166
2.059746 1.694751
2.084712 1.614071
2.109679 1.479670
2.134646 1.353774
2.159612 1.210652
2.184579 1.080580
2.209545 0.948902
2.234512 0.818914
2.259479 0.714759
2.284445 0.625961
2.309412 0.546846
2.334379 0.482605
2.359345 0.442306
2.384312 0.391438
2.409278 0.369701
2.434245 0.345329
2.459212 0.346580
2.484178 0.371709
2.509145 0.406372
2.534111 0.448632
2.559078 0.514066
2.584045 0.620012
2.609011 0.728951
2.633978 0.882458
2.658945 1.027678
2.683911 1.175028
2.708878 1.320696
2.733844 1.454121
2.758811 1.560427
2.783778 1.615907
2.808744 1.634183
2.833711 1.620952
2.858677 1.561025
2.883644 1.471622
2.908611 1.402727
2.933577 1.320398
2.958544 1.247925
2.983511 1.199509
3.008477 1.168295
3.033444 1.129756
3.058410 1.105359
3.083377 1.060325
3.108344 1.037654
3.133310 0.996231
3.158277 0.943949
3.183243 0.904869
3.208210 0.853239
3.233177 0.799417
3.258143 0.748489
3.283110 0.696167
3.308077 0.654820
3.333043 0.609743
3.358010 0.599985
3.382976 0.579282
3.407943 0.579553
3.432910 0.586820
3.457876 0.599461
3.482843 0.636638
3.507809 0.698370
3.532776 0.758833
3.557743 0.853258
3.582709 0.937246
3.607676 1.043087
3.632643 1.145268
3.657609 1.236424
3.682576 1.327933
3.707542 1.383227
3.732509 1.444424
3.757476 1.474420
3.782442 1.481395
3.807409 1.454248
3.832375 1.423440
3.857342 1.372890
3.882309 1.301865
3.907275 1.232105
3.932242 1.147484
3.957209 1.090247
3.982175 1.025361
4.007142 0.975182
4.032108 0.934676
4.057075 0.899181
4.082042 0.868201
4.107008 0.841128
4.131975 0.814904
4.156941 0.797010
4.181908 0.787447
4.206875 0.778905
4.231841 0.758535
4.256808 0.746350
4.281775 0.736623
4.306741 0.736781
4.331708 0.739903
4.356674 0.753816
4.381641 0.772447
4.406608 0.804861
4.431574 0.839061
4.456541 0.881353
4.481507 0.925159
4.506474 0.973051
4.531441 1.026533
4.556407 1.073177
4.581374 1.113207
4.606341 1.167709
4.631307 1.203338
4.656274 1.249181
4.681240 1.280519
4.706207 1.305905
4.731174 1.312854
4.756140 1.312967
4.781107 1.298930
4.806073 1.266731
4.831040 1.219362
4.856007 1.187510
4.880973 1.138947
4.905940 1.086705
4.930907 1.031176
4.955873 0.983441
4.980840 0.933377
