# z	rho(z)
0.007500 0.000000
0.022500 0.000000
0.037500 0.000000
0.052500 0.000000
0.067500 0.000000
0.082500 0.000000
0.097500 0.000000
0.112500 0.000000
0.127500 0.000000
0.142500 0.000000
0.157500 0.000000
0.172500 0.000000
0.187500 0.000000
0.202500 0.000000
0.217500 0.000000
0.232500 0.000000
0.247500 0.000000
0.262500 0.000000
0.277500 0.000000
0.292500 0.000000
0.307500 0.000000
0.322500 0.000000
0.337500 0.000000
0.352500 0.000000
0.367500 0.000000
0.382500 0.000000
0.397500 0.000000
0.412500 0.000000
0.427500 0.000000
0.442500 0.000000
0.457500 0.000000
0.472500 0.000000
0.487500 0.000000
0.502500 4.084874
0.517500 5.453945
0.532500 4.808408
0.547500 4.224208
0.562500 3.656570
0.577500 3.198897
0.592500 2.786577
0.607500 2.458320
0.622500 2.149995
0.637500 1.861602
0.652500 1.635606
0.667500 1.421454
0.682500 1.270373
0.697500 1.074997
0.712500 0.949915
0.727500 0.822714
0.742500 0.725748
0.757500 0.637738
0.772500 0.568216
0.787500 0.501871
0.802500 0.440341
0.817500 0.391039
0.832500 0.358108
0.847500 0.316317
0.862500 0.289741
0.877500 0.264994
0.892500 0.239766
0.907500 0.235721
0.922500 0.214248
0.937500 0.198071
0.952500 0.188153
0.967500 0.186998
0.982500 0.176791
0.997500 0.166103
1.012500 0.174384
1.027500 0.169473
1.042500 0.165525
1.057500 0.160999
1.072500 0.169762
1.087500 0.179776
1.102500 0.180546
1.117500 0.195086
1.132500 0.189983
1.147500 0.203945
1.162500 0.225418
1.177500 0.246506
1.192500 0.253054
1.207500 0.284445
1.222500 0.310540
1.237500 0.352041
1.252500 0.394313
1.267500 0.444770
1.282500 0.516122
1.297500 0.571875
1.312500 0.664122
1.327500 0.761665
1.342500 0.874807
1.357500 1.015393
1.372500 1.127861
1.387500 1.281446
1.402500 1.419721
1.417500 1.633199
1.432500 1.788517
1.447500 1.950382
1.462500 2.022505
1.477500 2.135069
1.492500 2.193037
1.507500 2.178593
1.522500 2.151054
1.537500 2.071228
1.552500 1.925539
1.567500 1.745089
1.582500 1.620681
1.597500 1.460548
1.612500 1.290979
1.627500 1.110433
1.642500 0.992187
1.657500 0.871341
1.672500 0.754251
1.687500 0.655552
1.702500 0.576208
1.717500 0.522670
1.732500 0.456229
1.747500 0.391039
1.762500 0.356952
1.777500 0.318532
1.792500 0.286563
1.807500 0.262490
1.822500 0.244195
1.837500 0.218870
1.852500 0.215115
1.867500 0.189501
1.882500 0.187576
1.897500 0.175347
1.912500 0.170147
1.927500 0.163310
1.942500 0.161770
1.957500 0.165910
1.972500 0.163888
1.987500 0.168414
2.002500 0.170147
2.017500 0.172554
2.032500 0.175539
2.047500 0.191620
2.062500 0.200575
2.077500 0.210589
2.092500 0.221567
2.107500 0.239380
2.122500 0.273756
2.137500 0.278956
2.152500 0.322865
2.167500 0.352138
2.182500 0.395276
2.197500 0.439763
2.212500 0.501389
2.227500 0.560705
2.242500 0.617324
2.257500 0.724015
2.272500 0.831958
2.287500 0.975721
2.302500 1.086167
2.317500 1.255544
2.332500 1.413173
2.347500 1.631273
2.362500 1.871712
2.377500 2.133914
2.392500 2.447728
2.407500 2.823649
2.422500 3.249835
2.437500 3.661770
2.452500 4.189832
2.467500 4.787224
2.482500 5.508350
2.497500 4.084200
2.512500 0.000000
2.527500 0.000000
2.542500 0.000000
2.557500 0.000000
2.572500 0.000000
2.587500 0.000000
2.602500 0.000000
2.617500 0.000000
2.632500 0.000000
2.647500 0.000000
2.662500 0.000000
2.677500 0.000000
2.692500 0.000000
2.707500 0.000000
2.722500 0.000000
2.737500 0.000000
2.752500 0.000000
2.767500 0.000000
2.782500 0.000000
2.797500 0.000000
2.812500 0.000000
2.827500 0.000000
2.842500 0.000000
2.857500 0.000000
2.872500 0.000000
2.887500 0.000000
2.902500 0.000000
2.917500 0.000000
2.932500 0.000000
2.947500 0.000000
2.962500 0.000000
2.977500 0.000000
2.992500 0.000000
