100
0.000000 10.731350
0.000000 9.293621
0.000000 1.500000
0.000000 0.000000 0.750000 0.500000
1.073135 0.000000 0.750000 0.500000
2.146270 0.000000 0.750000 0.500000
3.219405 0.000000 0.750000 0.500000
4.292540 0.000000 0.750000 0.500000
5.365675 0.000000 0.750000 0.500000
6.438810 0.000000 0.750000 0.500000
7.511945 0.000000 0.750000 0.500000
8.585080 0.000000 0.750000 0.500000
9.658215 0.000000 0.750000 0.500000
0.536567 0.929362 0.750000 0.500000
1.609702 0.929362 0.750000 0.500000
2.682837 0.929362 0.750000 0.500000
3.755972 0.929362 0.750000 0.500000
4.829107 0.929362 0.750000 0.500000
5.902242 0.929362 0.750000 0.500000
6.975377 0.929362 0.750000 0.500000
8.048512 0.929362 0.750000 0.500000
9.121647 0.929362 0.750000 0.500000
10.194782 0.929362 0.750000 0.500000
0.000000 1.858724 0.750000 0.500000
1.073135 1.858724 0.750000 0.500000
2.146270 1.858724 0.750000 0.500000
3.219405 1.858724 0.750000 0.500000
4.292540 1.858724 0.750000 0.500000
5.365675 1.858724 0.750000 0.500000
6.438810 1.858724 0.750000 0.500000
7.511945 1.858724 0.750000 0.500000
8.585080 1.858724 0.750000 0.500000
9.658215 1.858724 0.750000 0.500000
0.536567 2.788086 0.750000 0.500000
1.609702 2.788086 0.750000 0.500000
2.682837 2.788086 0.750000 0.500000
3.755972 2.788086 0.750000 0.500000
4.829107 2.788086 0.750000 0.500000
5.902242 2.788086 0.750000 0.500000
6.975377 2.788086 0.750000 0.500000
8.048512 2.788086 0.750000 0.500000
9.121647 2.788086 0.750000 0.500000
10.194782 2.788086 0.750000 0.500000
0.000000 3.717449 0.750000 0.500000
1.073135 3.717449 0.750000 0.500000
2.146270 3.717449 0.750000 0.500000
3.219405 3.717449 0.750000 0.500000
4.292540 3.717449 0.750000 0.500000
5.365675 3.717449 0.750000 0.500000
6.438810 3.717449 0.750000 0.500000
7.511945 3.717449 0.750000 0.500000
8.585080 3.717449 0.750000 0.500000
9.658215 3.717449 0.750000 0.500000
0.536567 4.646811 0.750000 0.500000
1.609702 4.646811 0.750000 0.500000
2.682837 4.646811 0.750000 0.500000
3.755972 4.646811 0.750000 0.500000
4.829107 4.646811 0.750000 0.500000
5.902242 4.646811 0.750000 0.500000
6.975377 4.646811 0.750000 0.500000
8.048512 4.646811 0.750000 0.500000
9.121647 4.646811 0.750000 0.500000
10.194782 4.646811 0.750000 0.500000
0.000000 5.576173 0.750000 0.500000
1.073135 5.576173 0.750000 0.500000
2.146270 5.576173 0.750000 0.500000
3.219405 5.576173 0.750000 0.500000
4.292540 5.576173 0.750000 0.500000
5.365675 5.576173 0.750000 0.500000
6.438810 5.576173 0.750000 0.500000
7.511945 5.576173 0.750000 0.500000
8.585080 5.576173 0.750000 0.500000
9.658215 5.576173 0.750000 0.500000
0.536567 6.505535 0.750000 0.500000
1.609702 6.505535 0.750000 0.500000
2.682837 6.505535 0.750000 0.500000
3.755972 6.505535 0.750000 0.500000
4.829107 6.505535 0.750000 0.500000
5.902242 6.505535 0.750000 0.500000
6.975377 6.505535 0.750000 0.500000
8.048512 6.505535 0.750000 0.500000
9.121647 6.505535 0.750000 0.500000
10.194782 6.505535 0.750000 0.500000
0.000000 7.434897 0.750000 0.500000
1.073135 7.434897 0.750000 0.500000
2.146270 7.434897 0.750000 0.500000
3.219405 7.434897 0.750000 0.500000
4.292540 7.434897 0.750000 0.500000
5.365675 7.434897 0.750000 0.500000
6.438810 7.434897 0.750000 0.500000
7.511945 7.434897 0.750000 0.500000
8.585080 7.434897 0.750000 0.500000
9.658215 7.434897 0.750000 0.500000
0.536567 8.364259 0.750000 0.500000
1.609702 8.364259 0.750000 0.500000
2.682837 8.364259 0.750000 0.500000
3.755972 8.364259 0.750000 0.500000
4.829107 8.364259 0.750000 0.500000
5.902242 8.364259 0.750000 0.500000
6.975377 8.364259 0.750000 0.500000
8.048512 8.364259 0.750000 0.500000
9.121647 8.364259 0.750000 0.500000
10.194782 8.364259 0.750000 0.500000
