# r/sigma g(r) (rho2d=0.6703, n=200, samples=5000)
0.021593 0.000000
0.064778 0.000509
0.107963 0.000000
0.151148 0.001091
0.194333 0.002829
0.237519 0.005926
0.280704 0.013398
0.323889 0.026517
0.367074 0.037508
0.410259 0.057765
0.453445 0.087914
0.496630 0.126549
0.539815 0.163280
0.583000 0.211584
0.626185 0.264447
0.669371 0.324996
0.712556 0.389905
0.755741 0.451818
0.798926 0.520927
0.842111 0.595341
0.885296 0.678755
0.928482 0.778168
0.971667 0.932475
1.014852 1.357328
1.058037 1.634912
1.101222 1.532681
1.144408 1.427989
1.187593 1.340494
1.230778 1.256969
1.273963 1.187928
1.317148 1.124776
1.360334 1.073345
1.403519 1.029679
1.446704 0.991873
1.489889 0.962636
1.533074 0.945583
1.576260 0.921477
1.619445 0.910546
1.662630 0.902095
1.705815 0.900919
1.749000 0.905000
1.792186 0.909431
1.835371 0.925367
1.878556 0.938843
1.921741 0.957625
1.964926 0.969078
2.008112 0.989014
2.051297 1.010111
2.094482 1.025102
2.137667 1.028824
2.180852 1.032252
2.224038 1.040828
2.267223 1.036150
2.310408 1.037179
2.353593 1.024516
2.396778 1.024676
2.439963 1.019768
2.483149 1.009314
2.526334 1.006895
2.569519 1.000154
2.612704 0.998632
2.655889 0.993148
2.699075 0.991354
2.742260 0.989193
2.785445 0.986261
2.828630 0.985480
2.871815 0.985005
2.915001 0.984367
2.958186 0.989235
3.001371 0.993852
3.044556 0.997653
3.087741 0.994031
3.130927 1.002473
3.174112 1.000870
3.217297 1.001070
3.260482 1.002662
3.303667 1.003709
3.346853 1.006970
3.390038 1.002927
3.433223 1.002586
3.476408 1.004278
3.519593 1.001047
3.562779 1.001198
3.605964 1.002651
3.649149 0.999247
3.692334 0.998387
3.735519 1.000896
3.778705 0.995318
3.821890 0.997872
3.865075 0.997563
3.908260 0.996183
3.951445 0.997179
3.994630 0.994812
4.037816 0.996782
4.081001 0.996837
4.124186 0.999297
4.167371 0.999149
4.210556 0.998677
4.253742 0.999611
4.296927 1.000178
4.340112 0.999801
4.383297 0.999733
4.426482 0.999405
4.469668 0.999482
4.512853 0.999580
4.556038 0.997638
4.599223 0.999755
4.642408 0.999073
4.685594 0.999220
4.728779 0.996669
4.771964 1.000524
4.815149 1.001527
4.858334 0.998718
4.901520 0.995783
4.944705 1.000008
4.987890 0.999867
5.031075 0.998259
5.074260 0.999470
5.117446 0.999079
5.160631 0.999204
5.203816 0.997239
5.247001 1.000703
5.290186 0.999860
5.333372 0.998977
5.376557 1.000668
5.419742 0.999851
5.462927 0.999971
5.506112 0.999292
5.549297 0.998079
5.592483 0.997766
5.635668 0.998091
5.678853 1.000726
5.722038 0.999763
5.765223 0.997197
5.808409 0.998820
5.851594 0.998271
5.894779 0.997765
5.937964 0.998298
5.981149 0.998457
6.024335 1.000856
6.067520 1.000299
6.110705 1.000845
6.153890 0.999094
6.197075 1.000179
6.240261 0.998771
6.283446 1.000535
6.326631 0.998493
6.369816 1.001821
6.413001 0.996435
6.456187 0.997579
6.499372 1.000232
6.542557 0.999159
6.585742 0.996764
6.628927 1.000002
6.672113 0.996321
6.715298 0.998834
6.758483 0.997898
6.801668 0.999457
6.844853 0.997126
6.888039 0.999045
6.931224 0.998666
6.974409 0.998308
7.017594 0.998619
7.060779 1.001791
7.103964 0.998950
7.147150 0.999280
7.190335 1.000288
7.233520 0.999688
7.276705 1.000787
7.319890 0.999033
7.363076 1.000267
7.406261 0.999319
7.449446 0.998897
7.492631 0.997733
7.535816 1.000279
7.579002 0.999500
7.622187 0.998139
7.665372 0.998223
7.708557 0.998598
7.751742 0.996949
7.794928 1.000794
7.838113 0.999050
7.881298 0.996727
7.924483 1.001190
7.967668 0.997589
8.010854 0.999475
8.054039 0.998418
8.097224 0.999608
8.140409 1.001108
8.183594 0.997573
8.226780 1.001040
8.269965 1.000308
8.313150 0.997947
8.356335 1.000572
8.399520 0.999334
8.442706 0.999089
8.485891 0.999015
8.529076 0.999112
8.572261 0.997568
8.615446 1.000023
